cohort,method,events,ess_mean,ess_min,ess_median,max_weight_mean,max_weight_median,max_weight_max,normalized_entropy_mean,collapse_fraction_ess_below_10pct,collapse_fraction_max_weight_above_half
threeprong_containing,sv,20498,238.2335252647389,41.19518280029297,253.79869842529297,0.00573385071155425,0.004412228707224131,0.10292280465364456,0.990687318226921,0.0,0.0
threeprong_containing,sv_raw,20498,195.1321171472184,1.0005431175231934,230.1289520263672,0.016474708303204338,0.006065934896469116,0.9997285604476929,0.9457926180547738,0.02209971704556542,0.002146550883012977
threeprong_x_threeprong,global_gaussian,2357,179.94900774419636,1.0,215.37252807617188,0.06973483814930209,0.007301026023924351,1.0,0.8887962068125189,0.09333899024183284,0.056851930420025454
threeprong_x_threeprong,matched_shuffle,2357,254.9979720150054,75.47283935546875,256.0,0.0041169626077207965,0.00390625,0.0962936207652092,0.9995742045978292,0.0,0.0
threeprong_x_threeprong,oracle_direction,2357,229.65669159692985,55.18789291381836,247.619873046875,0.006304309835975953,0.005041958298534155,0.060779549181461334,0.9852160033807443,0.0,0.0
threeprong_x_threeprong,sv,2357,225.65350562068534,51.1366081237793,244.70848083496094,0.0071601470269335495,0.005383385345339775,0.07203979790210724,0.9839350441830311,0.0,0.0
threeprong_x_threeprong,sv_raw,2357,157.12423176192914,1.2808763980865479,166.7693328857422,0.02865878326955062,0.010906253941357136,0.8827806711196899,0.9053325416440422,0.05006364022061943,0.002969876962240136
exact_surface_valid,global_gaussian,8272,211.74718394290431,1.0,248.90650177001953,0.0417824875931206,0.004877489060163498,1.0,0.9367690639580601,0.05113636363636364,0.03239845261121857
exact_surface_valid,matched_shuffle,8272,255.53114618600222,103.83477020263672,256.0,0.0039853918517789326,0.00390625,0.049834705889225006,0.999786688998428,0.0,0.0
exact_surface_valid,oracle_direction,8272,241.46777100028106,54.78932571411133,254.15900421142578,0.005103887595160643,0.004306557588279247,0.06365928053855896,0.9919429842735743,0.0,0.0
exact_surface_valid,sv,8272,239.04375066932442,56.01783752441406,253.84699249267578,0.005501951864804367,0.004397358279675245,0.06385499984025955,0.9910893094594405,0.0,0.0
exact_surface_valid,sv_raw,8272,196.86178168410893,1.30794358253479,230.91849517822266,0.013601263845260607,0.005982403410598636,0.8736053109169006,0.9499494972597353,0.013418762088974854,0.0008462282398452611
exact_surface_invalid,global_gaussian,12520,209.4083739300315,1.0,248.78726196289062,0.04370895996094702,0.004907911643385887,1.0,0.9330133944266704,0.055990415335463256,0.034185303514377
exact_surface_invalid,matched_shuffle,12520,255.4007658857888,58.622596740722656,256.0,0.0040516209556533695,0.00390625,0.0962936207652092,0.9997582806565891,0.0,0.0
exact_surface_invalid,oracle_direction,12520,240.07160718814254,48.366336822509766,254.2041244506836,0.005403974847295307,0.004306120565161109,0.08970329910516739,0.9911531128631994,0.0,0.0
exact_surface_invalid,sv,12520,237.44577793023836,41.19518280029297,253.70884704589844,0.0059347741611929725,0.004432886838912964,0.10292280465364456,0.9902761840734619,0.0,0.0
exact_surface_invalid,sv_raw,12520,193.45184576002936,1.0005431175231934,229.2228240966797,0.01900369938866149,0.006156255258247256,0.9997285604476929,0.942015491773275,0.029073482428115017,0.003514376996805112
