cohort,method,events,unweighted_auc,weighted_auc
threeprong_x_threeprong,historical_baseline_flow_mean,2357,0.571853331893293,0.5708088706532236
threeprong_x_threeprong,historical_baseline_full_posterior,2357,0.5751816250855024,0.5736886709497747
threeprong_x_threeprong,matched_shuffle_mean,2357,0.5720873384454764,0.5710740700297039
threeprong_x_threeprong,oracle_direction_mean,2357,0.5815851243834826,0.5805451380917872
threeprong_x_threeprong,point_h,2357,0.5867559491665766,0.584070501936016
threeprong_x_threeprong,sv_raw_mean,2357,0.5795517874500486,0.5793067823532768
threeprong_x_threeprong,sv_weighted_full_posterior,2357,0.5821269395543076,0.5809393433443707
threeprong_x_threeprong,sv_weighted_mean,2357,0.5787615653238292,0.578147901779124
threeprong_x_threeprong,sv_weighted_moments,2357,0.5784001152032257,0.5776213630504101
threeprong_x_threeprong,truth_nu_functional,2357,0.6775814522806638,0.6777528364135532
exact_surface_valid,baseline_flow_mean,23887,0.6005925013590494,0.6000475582967566
exact_surface_valid,baseline_full_posterior,23887,0.6009492400024168,0.6003400535748231
exact_surface_valid,exact_h,23887,0.7183764013015719,0.7183692700825418
exact_surface_valid,global_gaussian_mean,23887,0.5996862169332757,0.5991726211753252
exact_surface_valid,historical_baseline_flow_mean,23887,0.6006328781274891,0.6001100584057424
exact_surface_valid,historical_baseline_full_posterior,23887,0.6010013073680445,0.6003867819621252
exact_surface_valid,matched_shuffle_mean,23887,0.6006219980128792,0.6000670970146262
exact_surface_valid,oracle_direction_mean,23887,0.6029492092672333,0.6023756531382668
exact_surface_valid,point_h,23887,0.6159728678501489,0.6142603873083088
exact_surface_valid,sv_raw_mean,23887,0.6015831952647608,0.600956485735143
exact_surface_valid,sv_weighted_full_posterior,23887,0.6015513794378395,0.6009053088744346
exact_surface_valid,sv_weighted_mean,23887,0.601221239359083,0.6006515571857254
exact_surface_valid,sv_weighted_moments,23887,0.6012854815062962,0.600688900444214
exact_surface_valid,truth_nu_functional,23887,0.6575892079929161,0.65718706834646
exact_surface_invalid,baseline_flow_mean,32375,0.5941623318585831,0.593919485235637
exact_surface_invalid,baseline_full_posterior,32375,0.5949018806835165,0.5947057423416611
exact_surface_invalid,exact_h,32375,0.7209356250388532,0.7210342511823531
exact_surface_invalid,global_gaussian_mean,32375,0.5948140144225518,0.5943891370628183
exact_surface_invalid,historical_baseline_flow_mean,32375,0.5940811815144948,0.5938332323556273
exact_surface_invalid,historical_baseline_full_posterior,32375,0.5950600998963427,0.5948167355672549
exact_surface_invalid,matched_shuffle_mean,32375,0.5940828213588942,0.5938322754865482
exact_surface_invalid,oracle_direction_mean,32375,0.5966205617000446,0.5963860652990731
exact_surface_invalid,point_h,32375,0.6209852781527743,0.619184840751166
exact_surface_invalid,sv_raw_mean,32375,0.5946317607033369,0.5942789265370674
exact_surface_invalid,sv_weighted_full_posterior,32375,0.5958967565267544,0.5956699030948505
exact_surface_invalid,sv_weighted_mean,32375,0.5952091329261078,0.5949432530961279
exact_surface_invalid,sv_weighted_moments,32375,0.5947914288590026,0.5944966657561495
exact_surface_invalid,truth_nu_functional,32375,0.6288143515699787,0.628850653278398
