cohort,method,events,mse,mse_h_n,mse_h_r,mse_h_k,cosine,corr_h_n,corr_h_r,corr_h_k
threeprong_containing,matched_shuffle,20752,0.1670699026286,0.17722906223093224,0.18939707450757365,0.13458357114731354,0.6673917670375638,0.6907768086885616,0.6607291695312417,0.7670752178716637
threeprong_containing,oracle_direction,20752,0.15240170850605397,0.16169753739114914,0.17306941861568073,0.12243816951134795,0.7096571145327092,0.7237574064509783,0.6972620124092817,0.7912093034521777
threeprong_containing,sv,20752,0.16196306038188032,0.1715321257462062,0.18402237073989441,0.1303346846595549,0.6833879099612531,0.7028389758316713,0.672706658532071,0.7754747738839395
threeprong_containing,sv_raw,20752,0.163257769066067,0.17264428585828384,0.1858213140519083,0.13130770728802532,0.6875356422140321,0.7008701208999184,0.6693747595945656,0.7737002174979439
threeprong_containing,uniform,20752,0.1670670674291862,0.17722578124852087,0.18940425345330272,0.13457116758575435,0.6673477920450818,0.6907857181774246,0.6607154331725419,0.7671009217024982
threeprong_x_threeprong,global_gaussian,2357,0.18063929020336503,0.18529905077628347,0.19021401833900758,0.16640480149480744,0.6584005205682719,0.6711787336820619,0.6659820303034419,0.7039132031147685
threeprong_x_threeprong,matched_shuffle,2357,0.1740896634844469,0.17750032539265584,0.1840754333143853,0.16069323174630148,0.6444680825190551,0.6842563080381461,0.674979712070373,0.7148885762934589
threeprong_x_threeprong,oracle_direction,2357,0.14722721476551406,0.1503455945199254,0.15213754586367725,0.1391985039129424,0.7230365827782829,0.7426559668751743,0.743362217187302,0.7601759363817265
threeprong_x_threeprong,sv,2357,0.1653108340473178,0.16954124766043427,0.17306802818403763,0.15332322629748443,0.6724966933328589,0.7014297419758243,0.6986915235803748,0.7302081329190454
threeprong_x_threeprong,sv_raw,2357,0.16768936752830296,0.17357099863113482,0.17487283814641674,0.15462426580736077,0.6810851664318976,0.6952548877813743,0.6969807144661062,0.7280421762054166
threeprong_x_threeprong,uniform,2357,0.1740115579420078,0.17761592640780605,0.1837451481489268,0.16067359926929242,0.6445244790061109,0.6840015573149548,0.6757061792892589,0.714942146196849
exact_surface_valid,global_gaussian,23887,0.1706406803917324,0.19097566172396688,0.20608562409239065,0.11486075535886055,0.6723599010753889,0.6821631987021656,0.6393201506890823,0.7832330159051947
exact_surface_valid,matched_shuffle,23887,0.1697783492458074,0.1904788614718533,0.20477080874609233,0.11408537751949363,0.6681835104802588,0.6832517322214727,0.6423281816770983,0.7849679483577525
exact_surface_valid,oracle_direction,23887,0.16431914920056315,0.18466683765870373,0.1986340559151518,0.10965655402785178,0.6842232485605397,0.6952185426398891,0.6561233584430257,0.7945733990848446
exact_surface_valid,sv,23887,0.1677524489594712,0.18822442746615878,0.20255695992510536,0.11247595948716799,0.6746408420862736,0.6878630630388065,0.647252294515323,0.7884320097420955
exact_surface_valid,sv_raw,23887,0.16774688129048804,0.18813893351469355,0.20262468082674692,0.11247702953004246,0.6769026030610115,0.687951205358587,0.6469999569800099,0.7882911325724228
exact_surface_valid,uniform,23887,0.1697711841234691,0.19048130448991887,0.2047649996879459,0.11406724819255967,0.6681699446714797,0.6832477850816563,0.6423423970932151,0.7850131082559342
exact_surface_invalid,global_gaussian,32375,0.15743054417590782,0.1684863426825079,0.18839726713326702,0.1154080227119704,0.6971249703414258,0.6989854884565246,0.6478885505493888,0.8166415052400438
exact_surface_invalid,matched_shuffle,32375,0.15549631326356267,0.1668018439718778,0.18592206922986643,0.11376502658896472,0.6951471006349725,0.7025828420423434,0.6536339559263216,0.8195309611681996
exact_surface_invalid,oracle_direction,32375,0.14998922906752535,0.1610131156556639,0.17983892827356027,0.10911564327337007,0.7107180625381331,0.715109587687081,0.6680063945559624,0.8277109882644991
exact_surface_invalid,sv,32375,0.15367103023530101,0.16476957761276576,0.18406031100073295,0.11218320209242165,0.7007259847396995,0.7069587254745294,0.6579980942789467,0.8222961177781932
exact_surface_invalid,sv_raw,32375,0.15457690797389184,0.16557760199302698,0.18524334521212937,0.11290977671653835,0.7015775581719063,0.7052253925865678,0.65524194767103,0.8210105336309209
exact_surface_invalid,uniform,32375,0.15549878488959404,0.16679626628746538,0.18593040483621917,0.11376968354511859,0.6951286691596598,0.7025953150373798,0.653614896194,0.8195212903945684
